project_name,filename,filepath,commit_id,parent_commit,#different_loc
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,f4b9a46fa1,ef5c1de763,93
Hystrix,HystrixCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTest.java,f95c6940f2,a21a253a8b,6
Hystrix,HystrixCommandTestWithCustomConcurrencyStrategy.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixCommandTestWithCustomConcurrencyStrategy.java,6ce4a56a14,4a0d280666,44
Hystrix,HystrixConcurrencyStrategy.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/concurrency/HystrixConcurrencyStrategy.java,9ab65f101b,e08676e0e9,58
Hystrix,HystrixConfigSseServlet.java,hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixConfigSseServlet.java,6b857d094f,7c33691135,11
Hystrix,HystrixConfigSseServlet.java,hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/sample/stream/HystrixConfigSseServlet.java,e712bb7c69,c0d6d6c85d,5
Hystrix,HystrixConfigurationStream.java,hystrix-core/src/main/java/com/netflix/hystrix/config/HystrixConfigurationStream.java,8f304c8935,910ee48f35,14
Hystrix,HystrixContextFunc2.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/concurrency/HystrixContextFunc2.java,770d6a74c6,c73ab84ab4,2
Hystrix,HystrixContextScheduler.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/concurrency/HystrixContextScheduler.java,15898cf067,375b8f36fd,27
Hystrix,HystrixContextScheduler.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/concurrency/HystrixContextScheduler.java,c047c54369,68b79de7b9,7
Hystrix,HystrixContextScheduler.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/concurrency/HystrixContextScheduler.java,c3db003e3f,ede26ab46c,1
Hystrix,HystrixContextScheduler.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/concurrency/HystrixContextScheduler.java,cb9a95385f,999e7d37ec,76
Hystrix,HystrixContextScheduler.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/concurrency/HystrixContextScheduler.java,f39fcdcbcd,65ad7ec181,12
Hystrix,HystrixMetricsPoller.java,hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/metrics/eventstream/HystrixMetricsPoller.java,165e278032,f20b8ff641,73
Hystrix,HystrixMetricsPoller.java,hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/metrics/eventstream/HystrixMetricsPoller.java,4e80f5e623,b716fe6dfa,8
Hystrix,HystrixMetricsPoller.java,hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/metrics/eventstream/HystrixMetricsPoller.java,fde63f22b9,3376075ff6,178
Hystrix,HystrixMetricsPublisherFactory.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/metrics/HystrixMetricsPublisherFactory.java,87eb00892c,b6b23ceba0,10
Hystrix,HystrixMetricsPublisherFactory.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/metrics/HystrixMetricsPublisherFactory.java,f221f6ef66,0eb1589d85,118
Hystrix,HystrixMetricsStreamServlet.java,hystrix-contrib/hystrix-metrics-event-stream/src/main/java/com/netflix/hystrix/contrib/metrics/eventstream/HystrixMetricsStreamServlet.java,151a4a0831,2747e9105c,123
Hystrix,HystrixMetricsStreamServletUnitTest.java,hystrix-contrib/hystrix-metrics-event-stream/src/test/java/com/netflix/hystrix/contrib/metrics/eventstream/HystrixMetricsStreamServletUnitTest.java,151a4a0831,2747e9105c,4
Hystrix,HystrixNonBlockingCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixNonBlockingCommand.java,d31dc2d21b,1eb528e926,2391
Hystrix,HystrixNonBlockingCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixNonBlockingCommandTest.java,1e536ef9bc,e4759d47d8,850
Hystrix,HystrixObservableCollapser.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixObservableCollapser.java,35242d34c0,80e88a89ac,34
Hystrix,HystrixObservableCollapserTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCollapserTest.java,26fd11dd77,7f15e898fe,27
Hystrix,HystrixObservableCollapserTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCollapserTest.java,d1204e1aaa,7cf36e665c,51
Hystrix,HystrixObservableCommand.java,hystrix-core/src/main/java/com/netflix/hystrix/HystrixObservableCommand.java,58da8b3fd1,0392f10b8e,13
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,110b6fe3af,c742c2b6cf,1311
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,173a16adf6,2904296f94,2323
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,30c94adbed,35834150a5,3
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,3f697be058,863d7ab54a,3075
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,5ce99c1e24,fe82af9866,30
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,7a3bd19d0a,bd12ace1b2,2344
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,7ae8e0a3b4,8a7ea5a23a,1529
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,87027a2a80,d3d5b6e41a,257
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,91c3802314,2a496d9b4a,74
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,a305f235eb,157e796695,827
Hystrix,HystrixObservableCommandTest.java,hystrix-core/src/test/java/com/netflix/hystrix/HystrixObservableCommandTest.java,e595fd024b,a61e0797be,4
Hystrix,HystrixPlugins.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,0eb1589d85,ab1d2b9b75,8
Hystrix,HystrixPlugins.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,664430f886,bf32220b13,8
Hystrix,HystrixPlugins.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/HystrixPlugins.java,e5075b0c89,c7818a5e4d,8
Hystrix,HystrixPluginsTest.java,hystrix-core/src/test/java/com/netflix/hystrix/strategy/HystrixPluginsTest.java,1486264479,8c16e2f89f,2
Hystrix,HystrixPropertiesChainedArchaiusProperty.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/properties/HystrixPropertiesChainedArchaiusProperty.java,27b6fe10e2,8fc99b3c69,115
Hystrix,HystrixPropertiesChainedProperty.java,hystrix-core/src/main/java/com/netflix/hystrix/strategy/properties/HystrixPropertiesChainedProperty.java,cae8191f7e,5d0e7aea44,276
Hystrix,HystrixPropertiesManager.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/conf/HystrixPropertiesManager.java,17e07b6190,0d216ad533,117
Hystrix,HystrixPropertiesManager.java,hystrix-contrib/hystrix-javanica/src/main/java/com/netflix/hystrix/contrib/javanica/conf/HystrixPropertiesManager.java,7efbff490d,a70456e5bd,257
